time,n_cam_on,n_cam_off
9:10,1,0
9:12,2,0
9:13,3,0
9:15,3,0
9:16,3,1
9:16,4,1
9:18,6,1
9:19,7,1
9:20,6,2
9:24,6,2
9:25,5,3
9:25,5,4
9:26,6,3
9:30,6,2
9:31,5,2
9:33,6,1
9:34,6,2
9:47,5,3
10:53,2,6
11:00,2,5
11:37,2,5
11:38,3,4
11:49,3,4
11:58,3,3
13:07,0,0
13:15,1,0
13:18,2,0
