time,n_present,n_new,n_left
9:03,16,16,0
9:10,19,3,0
10:15,16,3,6
11:41,15,0,1
13:01,11,0,4
13:14,11,0,0
15:07,10,0,1
15:37,8,0,2
15:50,7,0,1
16:00,4,0,4

